Hotel Name,Address,City ,Rating,Amenities,Reviews,Reviews,Room Type,Accomodates,Price per Night
The Shire,"No 28 Sankey Road | Opposite Bangalore Golf Club, Bengaluru 560052, India",Bengaluru,3.6,"Free Wifi Free Parking
Air Conditioning","This was very much excited and enjoyed the Cheif guest addresses, hospitality of Le Meridian Hotel, food as well very nice. The staffs approaching we're, staff approaches with all of us was impressed with the staff approaches for tonight","Stayed here for the past 10 days as an SPG guest. Excellent staffs , nice facilities, secure and quite. Don’t miss out the buffet breakfast and the lounge in the evening. Kirupanandan and the lounge crew were very friendly and attentive.",Gold,3,"1,200"
The Shire,"No 28 Sankey Road | Opposite Bangalore Golf Club, Bengaluru 560052, India",Bengaluru,4.6,"Free Wifi Free Parking
Air Conditioning","This was very much excited and enjoyed the Cheif guest addresses, hospitality of Le Meridian Hotel, food as well very nice. The staffs approaching we're, staff approaches with all of us was impressed with the staff approaches for tonight","Stayed here for the past 10 days as an SPG guest. Excellent staffs , nice facilities, secure and quite. Don’t miss out the buffet breakfast and the lounge in the evening. Kirupanandan and the lounge crew were very friendly and attentive.",Family,4,"5,500"
Hyatt Hyderabad Gachibowli,"2 I T Park Road No | Plot 7, IT Park, Nanakramguda Gachibowli, Hyderabad",Hyderabad,4.5,"Free Wifi     Free Parking
Breakfast Buffet
Air Conditioning
Pool",I recently visited here and was amazed by the ambience plus the varieties offered in the brunch. Really enjoyed being here with all the food and company. Pranab and Chandan were really helpful. I would surely visit here again for stay and amazing food!!,Eventually i had Sunday Brunch@ Colage restaurant there today.The food was really good & so was the ambiance...a guy named Pranab was very good.Its a nice place to enjoy. Good job. Keep it up. Keep serving good food and keep s spreading smiles.,Suite,2,"13,000"
Hyatt Hyderabad Gachibowli,"3 I T Park Road No | Plot 7, IT Park, Nanakramguda Gachibowli, Hyderabad",Hyderabad,4.5,"Free Wifi     Free Parking
Breakfast Buffet
Air Conditioning
Pool",I recently visited here and was amazed by the ambience plus the varieties offered in the brunch. Really enjoyed being here with all the food and company. Pranab and Chandan were really helpful. I would surely visit here again for stay and amazing food!!,Eventually i had Sunday Brunch@ Colage restaurant there today.The food was really good & so was the ambiance...a guy named Pranab was very good.Its a nice place to enjoy. Good job. Keep it up. Keep serving good food and keep s spreading smiles.,Executive Suite,2,"17,000"
"Lemon Tree Premier, HITEC City","Plot No 2 Survey No 64 | HITEC City, Madhapur, Hyderabad 500081, India",Hyderabad,4.2,"Free Wifi     Free Parking
Breakfast 
Air Conditioning","Had a pleasant stay for a week. Staff were very friendly and helpful, all the basic amenities were available, delicious dinner at the restaurants. Sepcial thanks to the front desk memeber Subam Tamang for his assistance during our stay.",Every staff is coo-operative and gentle Specially housekeeping gents S.rajasekhar And in cafetaria veda All housekeeping and all staff is good.its really 5 star hote and ambience is good.,Premier Suite,3,"6,000"
"Lemon Tree Premier, HITEC City","Plot No 2 Survey No 64 | HITEC City, Madhapur, Hyderabad 500081, India",Hyderabad,4.2,"Free Wifi     Free Parking
Breakfast 
Air Conditioning","Had a pleasant stay for a week. Staff were very friendly and helpful, all the basic amenities were available, delicious dinner at the restaurants. Sepcial thanks to the front desk memeber Subam Tamang for his assistance during our stay.",Every staff is coo-operative and gentle Specially housekeeping gents S.rajasekhar And in cafetaria veda All housekeeping and all staff is good.its really 5 star hote and ambience is good.,Family Suite,4,"4,000"
OYO 9303 Celebrity Skyhy Rooms,"Chikoti Gardens, Old Patigadda, Chikoti Gardens, Begumpet, Hyderabad, Telangana ",Hyderabad,3.9,"Free Wifi     Free Parking
Breakfast 
Air Conditioning","It was great pleasure to stay with oyo premium rooms . Ambience and other facilities was good but the room was not according as shown in oyo site.Other than that everything was perfect and meet our expectation.	It was an amazing stay and I'll highly recommend it",It was an amazing stay and I'll highly recommend it,Suite,2,"1,500"
OYO 9303 Celebrity Skyhy Rooms,"Chikoti Gardens, Old Patigadda, Chikoti Gardens, Begumpet, Hyderabad, Telangana ",Hyderabad,4.9,"Free Wifi     Free Parking
Breakfast 
Air Conditioning","It was great pleasure to stay with oyo premium rooms . Ambience and other facilities was good but the room was not according as shown in oyo site.Other than that everything was perfect and meet our expectation.	It was an amazing stay and I'll highly recommend it",It was an amazing stay and I'll highly recommend it,Executive,3,2200
"The Taj Mahal Palace, Mumbai","Apollo Bunder, Mumbai 400 001, India",Mumbai,4.6,"Free Wifi     Free Parking
Breakfast Buffet
Air Conditioning
Pool",My wife and I stayed at the Taj Mahal Palace Hotel previously and our only complaint was that we didn’t have a long enough stay.,"Another excellent stay at the Taj, this time in the tower wing which didn't disappoint. It had the best view of the sea, the gate and the palace wing. ",Maharaj Suite,1,"38,000"
"The Taj Mahal Palace, Mumbai","Apollo Bunder, Mumbai 400 001, India",Mumbai,4.6,"Free Wifi     Free Parking
Breakfast Buffet
Air Conditioning
Pool",My wife and I stayed at the Taj Mahal Palace Hotel previously and our only complaint was that we didn’t have a long enough stay.,"Another excellent stay at the Taj, this time in the tower wing which didn't disappoint. It had the best view of the sea, the gate and the palace wing. ",Executive Suite,3,"16,000"
Radisson Mumbai Goregaon,"Swami Vivekanand Road, Mumbai 400062, India",Mumbai,4.1,"Free Wifi     Free Parking
Breakfast 
Air Conditioning",Satisfied .will definietly come again .staff was good. Variety kf food was available. Friendly and cooperative staff. Security and privacy was good. Overall it was an excwptional stay. Thankyou! Keep it up,"The Hotel is a good location, the breakfast is very nice and the staffs are very friendly and supportive. Cleanliness is too good in rooms. I must say they need to reduce the spa charges and provide fruits in the room as complimentary",Premier Suite,3,"6,000"
Radisson Mumbai Goregaon,"Swami Vivekanand Road, Mumbai 400062, India",Mumbai,4.1,"Free Wifi     Free Parking
Breakfast 
Air Conditioning",Satisfied .will definietly come again .staff was good. Variety kf food was available. Friendly and cooperative staff. Security and privacy was good. Overall it was an excwptional stay. Thankyou! Keep it up,"The Hotel is a good location, the breakfast is very nice and the staffs are very friendly and supportive. Cleanliness is too good in rooms. I must say they need to reduce the spa charges and provide fruits in the room as complimentary",Executive Suite,2,"4,500"
Shangai Palace,"Railway Station, Gurunanak Marg, Near, Bandra West, Mumbai, Maharashtra 400050",Mumbai,3.4,"Free Wifi     Free Parking
Breakfast 
Air Conditioning","The location is closer to station. So it is much appropriate for travellers. Rooms are nicely furnished along with Television and WiFi service. Room service is good too, staff is very responsive.","For the price they are charging, it's a better hotel/lodge. Friendly approach by reception people... Rooms are fine..",Deluxe,3,"1,500"
Shangai Palace,"Railway Station, Gurunanak Marg, Near, Bandra West, Mumbai, Maharashtra 400051",Mumbai,4.4,"Free Wifi     Free Parking
Breakfast 
Air Conditioning","The location is closer to station. So it is much appropriate for travellers. Rooms are nicely furnished along with Television and WiFi service. Room service is good too, staff is very responsive.","For the price they are charging, it's a better hotel/lodge. Friendly approach by reception people... Rooms are fine..",Family,4,"3,000"
Hyatt Regency Chennai,"365 Anna Salai Teynampet, Chennai",Chennai,4.5,"Free Wifi Free Parking
Breakfast Buffet
Air Conditioning
Pool","Excellent and prompt room service. From keys to fruits to shoe polish, all service were available superfast. Ajay from the team was promt in helping me with his power bank as well for charging my phone. I had left my charger and had to give my phone to reception. That gesture was highly appreciated.",The property is at an extremely close proximity to the airport and boasts of lovely ambience in and around the hotel,Gold,3,"10,600"
Hyatt Regency Chennai,"366 Anna Salai Teynampet, Chennai",Chennai,4.5,"Free Wifi Free Parking
Breakfast Buffet
Air Conditioning
Pool","Excellent and prompt room service. From keys to fruits to shoe polish, all service were available superfast. Ajay from the team was promt in helping me with his power bank as well for charging my phone. I had left my charger and had to give my phone to reception. That gesture was highly appreciated.",The property is at an extremely close proximity to the airport and boasts of lovely ambience in and around the hotel,Presidential Suite,2,"15,000"
Radisson Blu Hotel Chennai City Centre,"#2 Ethiraj Salai C - In - C Road, Chennai",Chennai,4.2,"Free Wifi Free Parking
Breakfast Buffet
Air Conditioning
Pool","great place to stay. Located close to egmore station (15 minutes walk) and central station (10 minutes drive). Excellent, large and comfortable rooms. Great breakfast as well. A little priced on the higher side but worth it",I have stayed at this hotel a lot of times in the last 5 years and they have never disappointed me even once. Their rooms are spacious and the service is good. The only drawback is the check-in and check-out procedure isn't quick.,Deluxe,3,"2,000"
Radisson Blu Hotel Chennai City Centre,"#2 Ethiraj Salai C - In - C Road, Chennai",Chennai,4.2,"Free Wifi Free Parking
Breakfast Buffet
Air Conditioning
Pool","great place to stay. Located close to egmore station (15 minutes walk) and central station (10 minutes drive). Excellent, large and comfortable rooms. Great breakfast as well. A little priced on the higher side but worth it",I have stayed at this hotel a lot of times in the last 5 years and they have never disappointed me even once. Their rooms are spacious and the service is good. The only drawback is the check-in and check-out procedure isn't quick.,Super Deluxe,3,"4,000"
OYO 17030 Bluten,"Lakshimi Colony, T Nagar, Chennai",Chennai,3.7,"Free Wifi Free Parking
Air Conditioning","I had no issues with the hotel. Staffs, rooms everything was perfect. Rooms were neat and hygienic",Spacious rooms...Neat and clean..Near to Chennai VAC and US consulate both,Premium,2,"1,500"
OYO 17030 Bluten,"Lakshimi Colony, T Nagar, Chennai",Chennai,3.7,"Free Wifi Free Parking
Air Conditioning","I had no issues with the hotel. Staffs, rooms everything was perfect. Rooms were neat and hygienic",Spacious rooms...Neat and clean..Near to Chennai VAC and US consulate both,Family,4,"5,000"
"Vivanta Gomti Nagar, Lucknow","Vipin Khand, Lucknow",Lucknow,4.5,"Free Wifi Free Parking
Breakfast 
Air Conditioning
Pool","A very nice property, it’s ideally located close to prominent places of town. The hotel have well maintained gardens. The sit out area surrounding swimming pool is very well maintained and has a well kept green area.",Amazing experience and would like to visit again and again. I would recommend everyone to choose Taj Vivanta if pocket permits as the standard of hospitality cannot be matched by any other hotels in India.,Executive,2,"12,000"
"Vivanta Gomti Nagar, Lucknow","Vipin Khand, Lucknow",Lucknow,4.5,"Free Wifi Free Parking
Breakfast 
Air Conditioning
Pool","A very nice property, it’s ideally located close to prominent places of town. The hotel have well maintained gardens. The sit out area surrounding swimming pool is very well maintained and has a well kept green area.",Amazing experience and would like to visit again and again. I would recommend everyone to choose Taj Vivanta if pocket permits as the standard of hospitality cannot be matched by any other hotels in India.,Suite,3,"18,000"
Novotel Lucknow Gomti Nagar,"Opposite to Sahara Hospital ,Viraj Khand Gomti Nagar, Lucknow",Lucknow,4.1,"Free Wifi Free Parking
Breakfast 
Air Conditioning","I visited the Novotel, Lucknow in October 2018. It was a wonderful visit from the moment I checked in until I checked out. The front office staff were always polite and extremely helpful. The rooms are clean and comfortable. The restaurant staff are just as wonderful and the food amazing. I recommend visiting The Novotel, Lucknow for a comfortable, enjoyable and friendly stay.","I would like to thnkx front office staff for helping me in my work progress..I lovd the way they helped me & made me feel special...so great ful to see this kind of service especially thank to Mona , kashish for service",Deluxe,3,"4,500"
Novotel Lucknow Gomti Nagar,"Opposite to Sahara Hospital ,Viraj Khand Gomti Nagar, Lucknow",Lucknow,4.1,"Free Wifi Free Parking
Breakfast 
Air Conditioning","I visited the Novotel, Lucknow in October 2018. It was a wonderful visit from the moment I checked in until I checked out. The front office staff were always polite and extremely helpful. The rooms are clean and comfortable. The restaurant staff are just as wonderful and the food amazing. I recommend visiting The Novotel, Lucknow for a comfortable, enjoyable and friendly stay.","I would like to thnkx front office staff for helping me in my work progress..I lovd the way they helped me & made me feel special...so great ful to see this kind of service especially thank to Mona , kashish for service",Super Deluxe,2,"3,300"
GenX Casaya,"CP 128, Viraj Khand, opposite Doordarshan Colony near Sahara Hospital, Gomti Nagar, Lucknow ",Lucknow,3.6,"Free Wifi Free Parking
Air Conditioning","The Gen X Casaya in Lucknow is a small beautiful property. The rooms are comfortable, adequately furnished and neat. They have a good restaurant offering choice foods but what attracted me most is the service.","Visited roof top bar which is well equipped. They serve variety of drinks. The restaurant is also good, calm and peaceful . The food is also good, a little on a hotter side, but served well. Near and clean rooms! Overall ""Value for money!!""
",Gold,3,"1,200"
GenX Casaya,"CP 128, Viraj Khand, opposite Doordarshan Colony near Sahara Hospital, Gomti Nagar, Lucknow ",Lucknow,3.6,"Free Wifi Free Parking
Air Conditioning","The Gen X Casaya in Lucknow is a small beautiful property. The rooms are comfortable, adequately furnished and neat. They have a good restaurant offering choice foods but what attracted me most is the service.","Visited roof top bar which is well equipped. They serve variety of drinks. The restaurant is also good, calm and peaceful . The food is also good, a little on a hotter side, but served well. Near and clean rooms! Overall ""Value for money!!""
",Family,4,"5,500"
Hotel Crown Palace,"2 Hotel Crown Palace A Kanchan Bagh, Indore",Indore,4.5,"Free Wifi     Free Parking
Breakfast Buffet
Air Conditioning
Pool","Centrally located... Good coffee shop visited by generations who would like to enjoy just chai or coffee with confectionery...have stayed here multiple times in the past 2 years.. Tariffs are reasonable..they have lunch buffet that is frequented by many, even on weekdays!!. The facility to organize decent corporate meetings and marriages is available..Airport / station transfers available.",A superb outlet at the center of the city. Have a restaurant that serves one of the nice buffet spread. Food taste is excellent. Service is not match.,Suite,2,"13,000"
Hotel Crown Palace,"2 Hotel Crown Palace A Kanchan Bagh, Indore",Indore,4.5,"Free Wifi     Free Parking
Breakfast Buffet
Air Conditioning
Pool","Centrally located... Good coffee shop visited by generations who would like to enjoy just chai or coffee with confectionery...have stayed here multiple times in the past 2 years.. Tariffs are reasonable..they have lunch buffet that is frequented by many, even on weekdays!!. The facility to organize decent corporate meetings and marriages is available..Airport / station transfers available.",A superb outlet at the center of the city. Have a restaurant that serves one of the nice buffet spread. Food taste is excellent. Service is not match.,Executive Suite,2,"17,000"
Radisson Blu Hotel Indore,"12 Scheme No 94c, Indore",Indore,4.2,"Free Wifi     Free Parking
Breakfast 
Air Conditioning","Found the rooms very good of contemporary international standards.The spa and wellness set up on a higher floor was also good,the therapists ",Food was good and net speed also good and room is perfect the way i like it and they have a pillow menu that i like the most and 24 hrs room service its good and the almond cake was good and i like the stay,Premier Suite,3,"6,000"
Radisson Blu Hotel Indore,"13 Scheme No 94c, Indore",Indore,4.2,"Free Wifi     Free Parking
Breakfast 
Air Conditioning","Found the rooms very good of contemporary international standards.The spa and wellness set up on a higher floor was also good,the therapists ",Food was good and net speed also good and room is perfect the way i like it and they have a pillow menu that i like the most and 24 hrs room service its good and the almond cake was good and i like the stay,Family Suite,4,"4,000"
Ginger Hotel Indore,"Chhoti Khajrani, Indore",Indore,3.9,"Free Wifi     Free Parking
Breakfast 
Air Conditioning",Went for the first time at indore. And the kind of vibe we get here was amazing totally amazing. Starting from the first Mr.chinmay was the cherry on the cake he made us so so so comfortable that this was like home away from home type feel. Keep this amazing feel going cheers to team ginger,"This hotel have Nice and clean room, complete privacy and well behaved staff, excellent cafeteria and located and prime location. Cafe coffee day is also available on ground. Hotel is treat to stay here.
",Suite,2,"1,500"
Ginger Hotel Indore,"Chhoti Khajrani, Indore",Indore,4.9,"Free Wifi     Free Parking
Breakfast 
Air Conditioning",Went for the first time at indore. And the kind of vibe we get here was amazing totally amazing. Starting from the first Mr.chinmay was the cherry on the cake he made us so so so comfortable that this was like home away from home type feel. Keep this amazing feel going cheers to team ginger,"This hotel have Nice and clean room, complete privacy and well behaved staff, excellent cafeteria and located and prime location. Cafe coffee day is also available on ground. Hotel is treat to stay here.
",Executive,3,2200
The Oberoi Udaivilas,"Haridasji Ki Magri, Udaipur ",Udaipur,4.6,"Free Wifi     Free Parking
Breakfast Buffet
Air Conditioning
Pool",What a wonderful hotel this is. Situated on the Lake the gardens and views are spectacular. Everything about this hotel is superb,The hotel is situated on a lake overlooking the Palace. The grounds are beautiful. Dinners are served on a terrace overlooking the lake with local entertainment. Huge menu. ,Maharaj Suite,1,"38,000"
The Oberoi Udaivilas,"Haridasji Ki Magri, Udaipur ",Udaipur,4.6,"Free Wifi     Free Parking
Breakfast Buffet
Air Conditioning
Pool",What a wonderful hotel this is. Situated on the Lake the gardens and views are spectacular. Everything about this hotel is superb,The hotel is situated on a lake overlooking the Palace. The grounds are beautiful. Dinners are served on a terrace overlooking the lake with local entertainment. Huge menu. ,Executive Suite,3,"16,000"
Radisson Udaipur,"1 Ashok Nagar Main Road Lakecity Mall, Udaipur",Udaipur,4.1,"Free Wifi     Free Parking
Breakfast 
Air Conditioning","Mr. Ankit Sharma is a very passionate, vigilant manager & takes care of guests with his unique style. He is very professional and has very good leadership qualities. Summing up he is soul of Season's Cafe at Radisson, Udaipur.",Most of the staff at this hotel are amazing but one standout was Anikit Sharma. He was always very professional and provided me with everything I needed during my stay. His approach to myself and other guests was always courteous and nothing was considered difficult or unobtainable. He always went out of his way to make visitors to his restaurant feel welcomed.,Premier Suite,3,"6,000"
Radisson Udaipur,"1 Ashok Nagar Main Road Lakecity Mall, Udaipur",Udaipur,4.1,"Free Wifi     Free Parking
Breakfast 
Air Conditioning","Mr. Ankit Sharma is a very passionate, vigilant manager & takes care of guests with his unique style. He is very professional and has very good leadership qualities. Summing up he is soul of Season's Cafe at Radisson, Udaipur.",Most of the staff at this hotel are amazing but one standout was Anikit Sharma. He was always very professional and provided me with everything I needed during my stay. His approach to myself and other guests was always courteous and nothing was considered difficult or unobtainable. He always went out of his way to make visitors to his restaurant feel welcomed.,Executive Suite,2,"4,500"
Panorama Guest House,"Hanuman Ghat Out Side Chand Pole, Udaipur",Udaipur,3.4,"Free Wifi     Free Parking
Breakfast 
Air Conditioning","Very friendly staff who always said hello and food in the rooftop restaurant with views of the lakes always exceeded our expectations, very cheap and tasty. We paid £50 for 5 nights and 4 breakfasts. However.. we noticed a number of mosquitoes around the room and hotel but that’s to be expected when staying in a lakeside hotel. There were also small black bugs on the bed which were jumping around, this meant that we had to set our mosquito nets and sleeping bag liners out on the bed to prevent any unwanted guests. ","The roof top resturant offers a great view and you can spend lot of time sitting there. The hotel is very clean and room service was a bit slow but it was good. Good architecture. Location of this place is really nice.
",Deluxe,3,"1,500"
Panorama Guest House,"Hanuman Ghat Out Side Chand Pole, Udaipur",Udaipur,4.4,"Free Wifi     Free Parking
Breakfast 
Air Conditioning","Very friendly staff who always said hello and food in the rooftop restaurant with views of the lakes always exceeded our expectations, very cheap and tasty. We paid £50 for 5 nights and 4 breakfasts. However.. we noticed a number of mosquitoes around the room and hotel but that’s to be expected when staying in a lakeside hotel. There were also small black bugs on the bed which were jumping around, this meant that we had to set our mosquito nets and sleeping bag liners out on the bed to prevent any unwanted guests. ","The roof top resturant offers a great view and you can spend lot of time sitting there. The hotel is very clean and room service was a bit slow but it was good. Good architecture. Location of this place is really nice.
",Family,4,"3,000"
DoubleTree by Hilton Hotel Goa,"Ximer Arporra Baga, Arpora",Goa,4.5,"Free Wifi Free Parking
Breakfast Buffet
Air Conditioning
Pool","It's a huge place, the lobby is big and well lit. The staff at the reception are very helpful and courteous. Rooms are spacious and are always kept clean. The restaurant and the bar on this hotel serves the best food, even the breakfast buffet spread is very good. The only drawback was the AC, as it kept giving issues and the technician couldn't fix it even after couple of request to fix the same. Overall one of the best places to stay in North Goa. It's on the main road and hence it is not at all hard to find the place. It is located at very close proximity to the beaches.",Good stay with all bwacbea nearby in 15 mins. Hotel staff were very polite and helpful throughout the stay. They took care of all minute details to make the stay really wonderful.we throughly enjoyed the time we spent in the hotel and goa,Suite,2,"13,000"
DoubleTree by Hilton Hotel Goa,"Ximer Arporra Baga, Arpora",Goa,4.5,"Free Wifi Free Parking
Breakfast Buffet
Air Conditioning
Pool","It's a huge place, the lobby is big and well lit. The staff at the reception are very helpful and courteous. Rooms are spacious and are always kept clean. The restaurant and the bar on this hotel serves the best food, even the breakfast buffet spread is very good. The only drawback was the AC, as it kept giving issues and the technician couldn't fix it even after couple of request to fix the same. Overall one of the best places to stay in North Goa. It's on the main road and hence it is not at all hard to find the place. It is located at very close proximity to the beaches.",Good stay with all bwacbea nearby in 15 mins. Hotel staff were very polite and helpful throughout the stay. They took care of all minute details to make the stay really wonderful.we throughly enjoyed the time we spent in the hotel and goa,Executive Suite,2,"17,000"
Resort Lagoa Azul,"Little Baga, Arpora",Goa,4.2,"Free Wifi Free Parking
Breakfast Buffet
Air Conditioning
Pool","Set back away from the hustle and bustle was this lovely hotel set amidst beautiful well kept gardens. On two sides of the small road both with pools, we were on the Tabla restaurant side which we preferred as was more secluded and with less rooms. Nice walk into the town or a taxi ride any further which would cost just over £2. Hotel bus would drop you to one end of the beach but we mainly used the taxis outside, there was always a couple parked up waiting, to drop us to the middle of Baga beach drop off on CSM Road to the Big Banana beach shack we would go. Good food in the restaurant and very friendly staff all round we will definitely be back next year",Stayed here few days during Goa visit. Pros.. Location of the resort s near to Happening beaches. Still it's bit inside the street so its away from Traffic and Noice. Check in was okay.. Rooms were spacious. ,Premier Suite,3,"6,000"
Resort Lagoa Azul,"Little Baga, Arpora",Goa,4.2,"Free Wifi Free Parking
Breakfast Buffet
Air Conditioning
Pool","Set back away from the hustle and bustle was this lovely hotel set amidst beautiful well kept gardens. On two sides of the small road both with pools, we were on the Tabla restaurant side which we preferred as was more secluded and with less rooms. Nice walk into the town or a taxi ride any further which would cost just over £2. Hotel bus would drop you to one end of the beach but we mainly used the taxis outside, there was always a couple parked up waiting, to drop us to the middle of Baga beach drop off on CSM Road to the Big Banana beach shack we would go. Good food in the restaurant and very friendly staff all round we will definitely be back next year	Stayed here few days during Goa visit. Pros.. Location of the resort s near to Happening beaches. Still it's bit inside the street so its away from Traffic and Noice. Check in was okay.. Rooms were spacious. ",Stayed here few days during Goa visit. Pros.. Location of the resort s near to Happening beaches. Still it's bit inside the street so its away from Traffic and Noice. Check in was okay.. Rooms were spacious. ,Family Suite,4,"4,000"
OYO 17167 Flagship Abalone Resort,"Arpora Junction, Arpora",Goa,3.7,"Free Wifi Free Parking
Air Conditioning","Vsry nice friendly staff good place love to visit here again n again. Goa is full of greenry, and enjoyment, this place is cool. Swimming pool is very big, but no alcohol. Can have mango alot here khaoo pet futte tak","Rooms were spacious and all rooms face the swimming pool. Staff are friendly and courteous. Location is excellent with easy connectivity to all major attractions. Very good options for budget travelers and groups.
",Suite,2,"1,500"
OYO 17167 Flagship Abalone Resort,"Arpora Junction, Arpora",Goa,3.7,"Free Wifi Free Parking
Air Conditioning","Vsry nice friendly staff good place love to visit here again n again. Goa is full of greenry, and enjoyment, this place is cool. Swimming pool is very big, but no alcohol. Can have mango alot here khaoo pet futte tak","Rooms were spacious and all rooms face the swimming pool. Staff are friendly and courteous. Location is excellent with easy connectivity to all major attractions. Very good options for budget travelers and groups.
",Executive,3,2200
